Iter	Abarema_jupunba	Amaioua_guianensis	Anacardium_spruceanum	Astronium_lecointei	Bagassa_guianensis	Bocoa_prouacensis	Brosimum_guianense	Brosimum_rubescens	Buchenavia_guianensis	Byrsonima_laevigata	Capparis_maroniensis	Carapa_procera	Caryocar_glabrum	Cecropia_obtusa	Cheiloclinium_cognatum	Chrysophyllum_argenteum	Chrysophyllum_cuneifolium	Chrysophyllum_eximium	Chrysophyllum_prieurii	Chrysophyllum_sanguinolentum	Conceveiba_guianensis	Cordia_sagotii	Couepia_bracteosa	Couepia_caryophylloides	Couepia_guianensis	Couma_guianensis	Couratari_multiflora	Cupania_scrobiculata	Dacryodes_cuspidata	Diospyros_carbonaria	Diploon_cuspidatum	Dipteryx_odorata	Drypetes_fanshawei	Drypetes_variabilis	Duguetia_surinamensis	Ecclinusa_lanceolata	Ecclinusa_ramiflora	Endlicheria_melinonii	Eperua_falcata	Eperua_grandiflora	Erisma_floribundum	Eschweilera_chartaceifolia	Eschweilera_coriacea	Eschweilera_decolorans	Eschweilera_grandiflora	Eschweilera_micrantha	Eschweilera_pedicellata	Eschweilera_sagotiana	Glycydendron_amazonicum	Goupia_glabra	Helicostylis_pedunculata	Hevea_guianensis	Hirtella_bicornis	Hirtella_glandulosa	Hirtella_suffulta	Inga_acrocephala	Inga_longipedunculata	Inga_pezizifera	Iryanthera_sagotiana	Jacaranda_copaia	Lacmellea_aculeata	Lacunaria_jenmanii	Laetia_procera	Lecythis_persistens	Lecythis_poiteaui	Lecythis_zabucajo	Licania_alba	Licania_canescens	Licania_heteromorpha	Licania_latistipula	Licania_majuscula	Licania_membranacea	Licania_micrantha	Licania_minutiflora	Licania_ovalifolia	Manilkara_bidentata	Manilkara_huberi	Melicoccus_pedicellaris	Micropholis_cayennensis	Micropholis_egensis	Micropholis_guyanensis	Micropholis_longipedicellata	Micropholis_melinoniana	Micropholis_obscura	Micropholis_porphyrocarpa	Micropholis_sanctae-rosae	Micropholis_venulosa	Minquartia_guianensis	Mouriri_crassifolia	Naucleopsis_guianensis	Ocotea_argyrophylla	Oxandra_asbeckii	Parinari_campestris	Parinari_montana	Pogonophora_schomburgkiana	Poraqueiba_guianensis	Pourouma_minor	Pourouma_villosa	Pouteria_ambelaniifolia	Pouteria_bangii	Pouteria_benai	Pouteria_bilocularis	Pouteria_cladantha	Pouteria_cuspidata	Pouteria_decorticans	Pouteria_eugeniifolia	Pouteria_filipes	Pouteria_fimbriata	Pouteria_flavilatex	Pouteria_guianensis	Pouteria_hispida	Pouteria_jariensis	Pouteria_laevigata	Pouteria_melanopoda	Pouteria_reticulata	Pouteria_retinervis	Pouteria_singularis	Pouteria_torta	Pradosia_cochlearia	Pradosia_ptychandra	Protium_apiculatum	Protium_cuneatum	Protium_decandrum	Protium_gallicum	Protium_guianense	Protium_morii	Protium_opacum	Protium_sagotianum	Protium_subserratum	Protium_tenuifolium	Protium_trifoliolatum	Pseudopiptadenia_psilostachya	Pseudoxandra_cuspidata	Qualea_rosea	Quararibea_duckei	Rhodostemonodaphne_grandis	Sacoglottis_guianensis	Schefflera_decaphylla	Sextonia_rubra	Simaba_polyphylla	Siparuna_pachyantha	Sloanea_brevipes	Sterculia_pruriens	Sterculia_speciosa	Symphonia_globulifera	Symplocos_martinicensis	Tachigali_bracteolata	Tachigali_paraensis	Talisia_simaboides	Tapirira_guianensis	Tetragastris_altissima	Tetragastris_panamensis	Theobroma_subincanum	Thyrsodium_guianense	Thyrsodium_puberulum	Trichilia_cipo	Trymatococcus_oligandrus	Unonopsis_rufescens	Virola_kwatae	Virola_michelii	Virola_multicostata	Vochysia_guianensis	Vouacapoua_americana	Xylopia_nitida
115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	733	0	0	0	0	0	0	0	0	0	0	0	754	414	0	271	211	409	40534
235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	992	0	0	0	0	0	0	0	0	0	0	0	962	538	0	362	256	799	34332
355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	929	0	0	0	0	0	0	0	0	0	0	0	1065	616	0	405	287	687	32874
475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	952	0	0	0	0	0	0	0	0	0	0	0	1105	657	0	399	329	778	31400
595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1056	0	0	0	0	0	0	0	0	0	0	0	1300	682	0	395	291	865	30497
715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1053	0	0	0	0	0	0	0	0	0	0	0	1312	690	0	459	345	1136	29786
835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1006	0	0	0	0	0	0	0	0	0	0	0	1423	690	0	422	316	1397	29761
955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1073	0	0	0	0	0	0	0	0	0	0	0	1342	760	0	430	338	1502	29819
1075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1123	0	0	0	0	0	0	0	0	0	0	0	1297	798	0	410	308	1480	29684
1152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	891	0	0	0	0	0	0	0	0	0	0	0	1254	555	0	485	322	1777	28286
