iter	species	age	dbh	height
2	Xylopia_nitida	1.16667	0.0130671	2.07517
2	Xylopia_nitida	1.16667	0.0130724	2.07598
2	Xylopia_nitida	1.16667	0.0131206	2.08331
2	Xylopia_nitida	1.16667	0.013119	2.08307
2	Xylopia_nitida	1.16667	0.0130925	2.07903
2	Xylopia_nitida	1.16667	0.0130751	2.07639
2	Xylopia_nitida	1.16667	0.0131273	2.08432
2	Xylopia_nitida	1.16667	0.0130545	2.07324
2	Xylopia_nitida	1.16667	0.0125591	1.99769
2	Xylopia_nitida	1.16667	0.0130323	2.06987
2	Xylopia_nitida	1.16667	0.0130867	2.07815
2	Xylopia_nitida	1.16667	0.0116578	1.85964
2	Xylopia_nitida	1.16667	0.0130787	2.07693
2	Xylopia_nitida	1.16667	0.013085	2.07789
2	Xylopia_nitida	1.08333	0.0113585	1.81363
2	Xylopia_nitida	1.16667	0.0131302	2.08477
2	Xylopia_nitida	1.16667	0.0131189	2.08305
2	Xylopia_nitida	1.16667	0.0130862	2.07807
2	Xylopia_nitida	1.16667	0.0131422	2.0866
2	Xylopia_nitida	1.16667	0.0131062	2.08112
2	Xylopia_nitida	1.16667	0.0113686	1.81518
2	Xylopia_nitida	1.16667	0.013054	2.07318
2	Xylopia_nitida	1.16667	0.0130789	2.07696
2	Xylopia_nitida	1.16667	0.0131492	2.08766
2	Xylopia_nitida	1.16667	0.0131261	2.08415
2	Xylopia_nitida	1.16667	0.0130903	2.0787
2	Xylopia_nitida	1.16667	0.013125	2.08398
2	Xylopia_nitida	1.16667	0.0131051	2.08095
2	Xylopia_nitida	1.16667	0.0131395	2.08619
600	Xylopia_nitida	2.08333	0.005	0.814833
600	Xylopia_nitida	2.08333	0.005	0.814833
600	Xylopia_nitida	2	0.005	0.814833
600	Xylopia_nitida	2	0.005	0.814833
600	Xylopia_nitida	2.16667	0.0050401	0.82126
600	Xylopia_nitida	2.16667	0.00505844	0.8242
600	Xylopia_nitida	16	0.0172402	2.70223
600	Unonopsis_rufescens	1.5	0.005	0.795652
600	Vouacapoua_americana	2.08333	0.005	0.89277
600	Xylopia_nitida	7.25	0.00627767	1.01882
600	Virola_kwatae	2	0.005	0.818982
600	Xylopia_nitida	1.91667	0.005	0.814833
600	Micropholis_longipedicellata	1.75	0.005	0.751245
600	Xylopia_nitida	1.58333	0.005	0.814833
600	Vouacapoua_americana	2	0.005	0.89277
600	Vouacapoua_americana	2	0.005	0.89277
600	Xylopia_nitida	3.16667	0.005	0.814833
600	Xylopia_nitida	37.0834	0.086184	11.116
600	Xylopia_nitida	2.25	0.00504329	0.821772
600	Vouacapoua_americana	1.5	0.005	0.89277
600	Xylopia_nitida	1.83333	0.005	0.814833
600	Unonopsis_rufescens	1.91667	0.005	0.795652
600	Xylopia_nitida	2.33333	0.00502575	0.818961
600	Xylopia_nitida	1.83333	0.005	0.814833
600	Xylopia_nitida	7.75001	0.00632671	1.02662
600	Xylopia_nitida	2	0.005	0.814833
600	Vouacapoua_americana	1.83333	0.005	0.89277
600	Unonopsis_rufescens	1.83333	0.005	0.795652
600	Xylopia_nitida	2	0.005	0.814833
600	Xylopia_nitida	1.83333	0.005	0.814833
600	Xylopia_nitida	1.91667	0.005	0.814833
600	Xylopia_nitida	1.91667	0.005	0.814833
600	Xylopia_nitida	3.33333	0.005	0.814833
600	Unonopsis_rufescens	1.91667	0.005	0.795652
600	Xylopia_nitida	1.75	0.005	0.814833
600	Virola_multicostata	1.91667	0.005	0.815447
600	Xylopia_nitida	1.83333	0.005	0.814833
600	Xylopia_nitida	2	0.005	0.814833
600	Xylopia_nitida	2.08333	0.005	0.814833
600	Xylopia_nitida	2.75	0.005	0.814833
600	Virola_multicostata	2.33333	0.0050133	0.817581
600	Symplocos_martinicensis	1.75	0.005	0.66457
600	Micropholis_longipedicellata	1.75	0.005	0.751245
600	Xylopia_nitida	1.83333	0.005	0.814833
600	Unonopsis_rufescens	1.75	0.005	0.795652
600	Xylopia_nitida	1.83333	0.005	0.814833
600	Xylopia_nitida	2.41667	0.00501569	0.817349
600	Symplocos_martinicensis	1.91667	0.005	0.66457
600	Xylopia_nitida	2	0.005	0.814833
600	Unonopsis_rufescens	1.91667	0.005	0.795652
600	Xylopia_nitida	1.91667	0.005	0.814833
600	Xylopia_nitida	1.91667	0.005	0.814833
600	Xylopia_nitida	1.75	0.005	0.814833
600	Xylopia_nitida	1.66667	0.005	0.814833
