iter	wsg	dbh	basal	dr
1199	0.535209	0.0120138	0.00604228	0.00604228
1199	0.535209	0.0382394	0.00604228	0.00604228
1199	0.535209	0.0288671	0.00604228	0.00604228
1199	0.535209	0.0198275	0.00604228	0.00604228
1199	0.535209	0.0959202	0.00604228	0.00604228
1199	0.535209	0.0247935	0.00604228	0.00604228
1199	0.535209	0.0198197	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.0137099	0.00604228	0.00604228
1199	0.535209	0.00828723	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.0915171	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.00999021	0.00604228	0.00604228
1199	0.535209	0.00785978	0.00604228	0.00604228
1199	0.535209	0.136606	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.00506144	0.00604228	0.00604228
1199	0.388145	0.005	0.00795412	0.00795412
1199	0.535209	0.0278824	0.00604228	0.00604228
1199	0.535209	0.096271	0.00604228	12.006
1199	0.535209	0.248138	0.00604228	0.00604228
1199	0.535209	0.00657174	0.00604228	0.00604228
1199	0.535209	0.00504249	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.356818	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.0446787	0.00604228	0.00604228
1199	0.535209	0.118325	0.00604228	0.00604228
1199	0.535209	0.0182875	0.00604228	0.00604228
1199	0.535209	0.00641788	0.00604228	0.00604228
1199	0.535209	0.0216004	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.504933	0.005	0.00643587	0.00643587
1199	0.504933	0.005	0.00643587	12.0064
1199	0.535209	0.0265925	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.689479	0.005	0.00403677	0.00403677
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.0901241	0.00604228	0.00604228
1199	0.689479	0.005	0.00403677	0.00403677
1199	0.535209	0.0370666	0.00604228	0.00604228
1199	0.535209	0.0852972	0.00604228	0.00604228
1199	0.689479	0.005	0.00403677	0.00403677
1199	0.535209	0.00504657	0.00604228	12.006
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.689479	0.005	0.00403677	0.00403677
1199	0.573925	0.005	0.00553897	0.00553897
1199	0.535209	0.0628489	0.00604228	0.00604228
1199	0.535209	0.0590739	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.0163593	0.00604228	0.00604228
1199	0.535209	0.0135007	0.00604228	0.00604228
1199	0.535209	0.0173204	0.00604228	0.00604228
1199	0.535209	0.0110496	0.00604228	0.00604228
1199	0.535209	0.0161166	0.00604228	0.00604228
1199	0.535209	0.070883	0.00604228	0.00604228
1199	0.535209	0.0129775	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.00504835	0.00604228	12.006
1199	0.535209	0.157522	0.00604228	0.00604228
1199	0.535209	0.0555225	0.00604228	0.00604228
1199	0.535209	0.0050355	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.0357809	0.00604228	0.00604228
1199	0.535209	0.133731	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.163555	0.00604228	0.00604228
1199	0.535209	0.0696338	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.0170779	0.00604228	0.00604228
1199	0.535209	0.0276177	0.00604228	0.00604228
1199	0.535209	0.00937013	0.00604228	0.00604228
1199	0.535209	0.0138806	0.00604228	0.00604228
1199	0.535209	0.00584875	0.00604228	0.00604228
1199	0.535209	0.00615244	0.00604228	0.00604228
1199	0.535209	0.0138635	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.0203796	0.00604228	0.00604228
1199	0.535209	0.0124937	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	12.006
1199	0.689479	0.005	0.00403677	12.004
1199	0.573925	0.005	0.00553897	0.00553897
1199	0.535209	0.0422266	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.00535019	0.00604228	0.00604228
1199	0.388145	0.005	0.00795412	0.00795412
1199	0.535209	0.0697602	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.0596483	0.00604228	0.00604228
1199	0.535209	0.0226589	0.00604228	0.00604228
1199	0.535209	0.0350168	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	12.006
1199	0.535209	0.00503387	0.00604228	0.00604228
1199	0.535209	0.00503004	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.504933	0.005	0.00643587	0.00643587
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	12.006
1199	0.535209	0.400441	0.00604228	0.00604228
1199	0.535209	0.0772943	0.00604228	0.00604228
1199	0.535209	0.433735	0.00604228	0.00604228
1199	0.535209	0.0877623	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	12.006
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.00566935	0.00604228	0.00604228
1199	0.535209	0.0129629	0.00604228	0.00604228
1199	0.535209	0.0162176	0.00604228	0.00604228
1199	0.535209	0.00537054	0.00604228	0.00604228
1199	0.535209	0.00506391	0.00604228	0.00604228
1199	0.535209	0.00510385	0.00604228	0.00604228
1199	0.535209	0.0188248	0.00604228	0.00604228
1199	0.535209	0.215912	0.00604228	0.00604228
1199	0.535209	0.107967	0.00604228	0.00604228
1199	0.535209	0.031855	0.00604228	0.00604228
1199	0.689479	0.005	0.00403677	0.00403677
1199	0.535209	0.0929378	0.00604228	0.00604228
1199	0.535209	0.0624739	0.00604228	0.00604228
1199	0.535209	0.062887	0.00604228	0.00604228
1199	0.535209	0.00511088	0.00604228	0.00604228
1199	0.46	0.005	0.00702	0.00702
1199	0.535209	0.204374	0.00604228	0.00604228
1199	0.535209	0.070192	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	12.006
1199	0.535209	0.0054395	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.0316481	0.00604228	0.00604228
1199	0.535209	0.00572547	0.00604228	0.00604228
1199	0.535209	0.0318253	0.00604228	0.00604228
1199	0.535209	0.287054	0.00604228	0.00604228
1199	0.535209	0.00515098	0.00604228	0.00604228
1199	0.535209	0.00502899	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.00518022	0.00604228	0.00604228
1199	0.504933	0.005	0.00643587	0.00643587
1199	0.573925	0.005	0.00553897	0.00553897
1199	0.535209	0.0417022	0.00604228	0.00604228
1199	0.535209	0.0201349	0.00604228	0.00604228
1199	0.535209	0.197384	0.00604228	0.00604228
1199	0.535209	0.00503015	0.00604228	0.00604228
1199	0.535209	0.0189872	0.00604228	0.00604228
1199	0.535209	0.138947	0.00604228	0.00604228
1199	0.535209	0.030857	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.0247557	0.00604228	0.00604228
1199	0.535209	0.112382	0.00604228	0.00604228
1199	0.535209	0.374174	0.00604228	0.00604228
1199	0.535209	0.027924	0.00604228	0.00604228
1199	0.535209	0.00520399	0.00604228	0.00604228
1199	0.535209	0.484144	0.00604228	0.00604228
1199	0.535209	0.0498723	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.00501573	0.00604228	12.006
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.388145	0.005	0.00795412	12.008
1199	0.576523	0.005	0.0055052	0.0055052
1199	0.504933	0.005	0.00643587	0.00643587
1199	0.535209	0.294627	0.00604228	0.00604228
1199	0.535209	0.00504486	0.00604228	12.006
1199	0.388145	0.005	0.00795412	0.00795412
1199	0.535209	0.0363871	0.00604228	0.00604228
1199	0.535209	0.304929	0.00604228	0.00604228
1199	0.535209	0.0521144	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	12.006
1199	0.535209	0.005	0.00604228	12.006
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.0157811	0.00604228	0.00604228
1199	0.535209	0.363994	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.0470675	0.00604228	0.00604228
1199	0.535209	0.0496693	0.00604228	0.00604228
1199	0.535209	0.253835	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.020716	0.00604228	0.00604228
1199	0.535209	0.0480463	0.00604228	0.00604228
1199	0.573925	0.00626838	0.00553897	0.00553897
1199	0.535209	0.00508729	0.00604228	0.00604228
1199	0.535209	0.00636672	0.00604228	0.00604228
1199	0.535209	0.301925	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.0218841	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.0052133	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.429067	0.005	0.00742213	0.00742213
1199	0.535209	0.313315	0.00604228	0.00604228
1199	0.535209	0.0495362	0.00604228	0.00604228
1199	0.689479	0.005	0.00403677	0.00403677
1199	0.535209	0.005	0.00604228	12.006
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.00636876	0.00604228	0.00604228
1199	0.535209	0.00799525	0.00604228	0.00604228
1199	0.388145	0.005	0.00795412	12.008
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.246224	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.43258	0.00604228	0.00604228
1199	0.535209	0.0878766	0.00604228	0.00604228
1199	0.535209	0.00518777	0.00604228	0.00604228
1199	0.504933	0.005	0.00643587	12.0064
1199	0.388145	0.005	0.00795412	0.00795412
1199	0.388145	0.005	0.00795412	0.00795412
1199	0.535209	0.503497	0.00604228	0.00604228
1199	0.535209	0.0429191	0.00604228	0.00604228
1199	0.576523	0.005	0.0055052	0.0055052
1199	0.576523	0.005	0.0055052	0.0055052
1199	0.429067	0.005	0.00742213	0.00742213
1199	0.504933	0.005	0.00643587	0.00643587
1199	0.573925	0.005	0.00553897	0.00553897
1199	0.535209	0.0050483	0.00604228	0.00604228
1199	0.504933	0.005	0.00643587	0.00643587
1199	0.504933	0.005	0.00643587	0.00643587
1199	0.535209	0.477725	0.00604228	0.00604228
1199	0.535209	0.0595156	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.381855	0.00604228	0.00604228
1199	0.535209	0.0431025	0.00604228	0.00604228
1199	0.573925	0.005	0.00553897	0.00553897
1199	0.535209	0.00908076	0.00604228	0.00604228
1199	0.535209	0.0116092	0.00604228	0.00604228
1199	0.535209	0.0306171	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
