iter	nbdead_n1	nbdead_n10	nbTreefall1	nbTreefall10
0	5.28	0	0	0
1	4.16	0	0	0
2	4.96	0	0	0
3	4.8	0	0	0
4	4.64	0	0	0
5	5.92	0	0	0
6	4.16	0	0	0
7	5.28	0	0	0
8	4.32	0	0	0
9	4.8	0	0	0
10	5.44	0	0	0
11	3.36	0	0	0
12	5.28	0	0	0
13	8.32	0	0	0
14	5.92	0	0	0
15	4.48	0	0	0
16	4.64	0	0	0
17	5.12	0	0	0
18	4.8	0	0	0
19	4.96	0	0	0
20	7.2	0	0	0
21	5.44	0	0	0
22	4.48	0	0	0
23	4.96	0	0	0
24	6.08	0	0	0
25	4	0	0	0
26	3.84	0	0	0
27	6.88	0	0	0
28	9.76	0	0	0
29	10.24	0	0	0
30	20.96	0	0	0
31	13.92	0	0	0
32	26.4	0	0	0
33	32.8	0	0	0
34	51.84	0	0	0
35	31.04	0	0	0
36	39.84	0	0	0
37	66.4	0	0	0
38	113.44	0	0	0
39	162.88	0	0	0
40	238.08	0	0	0
41	263.84	0	0	0
42	244.96	0	0	0
43	185.92	0	0	0
44	153.12	0	0	0
45	135.84	0	0	0
46	139.84	0	0	0
47	138.24	0	0	0
48	153.6	0	0	0
49	155.52	0	0	0
50	175.84	0	0	0
51	201.92	0	0	0
52	234.88	0	0	0
53	255.36	0	0	0
54	231.68	0	0	0
55	223.84	0	0	0
56	203.2	0	0	0
57	188.96	0	0	0
58	198.88	0	0	0
59	205.12	0	0	0
60	210.24	0	0	0
61	208.48	0	0	0
62	217.44	0	0	0
63	216.64	0	0	0
64	219.52	0	0	0
65	226.88	0	0	0
66	213.76	0	0	0
67	196.8	0	0	0
68	183.84	0	0	0
69	188	0	0	0
70	205.12	0	0	0
71	211.36	0	0	0
72	220.16	0	0	0
73	213.28	0	0	0
74	210.4	0	0	0
75	182.08	0	0	0
76	195.52	0	0	0
77	188	0	0	0
78	177.76	0	0	0
79	163.68	0	0	0
80	177.6	0	0	0
81	178.4	0	0	0
82	210.72	0	0	0
83	228.32	0	0	0
84	223.04	0	0	0
85	218.56	0	0	0
86	194.88	0	0	0
87	172	0	0	0
88	170.56	0	0	0
89	168.16	0	0	0
90	173.92	0	0	0
91	175.68	0	0	0
92	182.88	0	0	0
93	198.08	0	0	0
94	209.28	0	0	0
95	241.44	0	0	0
96	238.88	0	0	0
97	233.44	0	0	0
98	211.2	0	0	0
99	186.4	0	0	0
100	169.28	0	0	0
101	169.12	0.16	0	0
102	158.56	0	0	0
103	174.24	0	0	0
104	172.48	0	0	0
105	203.04	0	0	0
106	221.28	0.16	0	0
107	237.28	0	0	0
108	251.36	0	0	0
109	227.68	0	0	0
110	221.6	0	0	0
111	205.6	0	0	0
112	185.44	0.16	0	0
113	173.76	0	0	0
114	160.64	0.16	0	0
115	172.96	0	0	0
116	174.88	0	0	0
117	192.8	0	0	0
118	223.04	0	0	0
119	243.36	0	0	0
120	249.28	0	0	0
121	237.92	0	0	0
122	223.04	0	0	0
123	199.2	0	0	0
124	178.56	0	0	0
125	164.8	0	0	0
126	159.04	0.16	0	0
127	171.36	0	0	0
128	176.64	0.16	0	0
129	191.04	0	0	0
130	224.96	0.32	0	0
131	243.52	0.32	0	0
132	245.28	0	0	0
133	240.8	0	0	0
134	208.8	0	0	0
135	201.12	0.48	0	0
136	189.6	0.32	0	0
137	159.04	0.16	0	0
138	158.08	0.16	0	0
139	172.96	0.48	0	0
140	171.68	0.48	0	0
141	182.4	0.16	0	0
142	228	0.16	0	0
143	247.68	0.32	0	0
144	260.96	0.48	0	0
145	235.68	0	0	0
146	224.96	0.32	0	0
147	199.04	0.32	0	0
148	172.48	0.48	0	0
149	154.08	0.32	0	0
150	154.24	0.32	0	0
151	153.28	0.16	0	0
152	173.6	0.8	0	0
153	193.92	0.64	0	0
154	227.36	0.32	0	0
155	262.88	0.16	0	0
156	251.36	0.8	0	0
157	253.44	0.48	0	0
158	214.88	0	0	0
159	195.2	0	0	0
160	158.08	0.16	0	0
161	158.08	0.32	0	0
162	139.36	0	0	0
163	149.92	0.32	0	0
164	175.84	0.32	0	0
165	207.68	0.48	0	0
166	223.68	0.48	0	0
167	255.52	0.16	0	0
168	259.84	0.48	0	0
169	254.72	0.16	0	0
170	220.64	0.32	0	0
171	197.12	0.32	0	0
172	162.72	0.96	0	0
173	143.2	0.32	0	0
174	147.36	0.16	0	0
175	155.84	0.32	0	0
176	173.92	0	0	0
177	189.44	0.16	0	0
178	249.92	0.48	0	0
179	268.48	0.32	0	0
180	267.52	0.64	0	0
181	263.36	0.16	0	0
182	231.36	0.32	0	0
183	193.44	0.16	0	0
184	175.36	0.32	0	0
185	150.72	0.32	0	0
186	148.48	0.96	0	0
187	160.32	0.32	0	0
188	187.36	0.32	0	0
189	198.08	0.8	0	0
190	248.32	0.48	0	0
191	258.4	0.96	0	0
192	264.32	0.16	0	0
