Iter	Abarema_jupunba	Amaioua_guianensis	Anacardium_spruceanum	Astronium_lecointei	Bagassa_guianensis	Bocoa_prouacensis	Brosimum_guianense	Brosimum_rubescens	Buchenavia_guianensis	Byrsonima_laevigata	Capparis_maroniensis	Carapa_procera	Caryocar_glabrum	Cecropia_obtusa	Cheiloclinium_cognatum	Chrysophyllum_argenteum	Chrysophyllum_cuneifolium	Chrysophyllum_eximium	Chrysophyllum_prieurii	Chrysophyllum_sanguinolentum	Conceveiba_guianensis	Cordia_sagotii	Couepia_bracteosa	Couepia_caryophylloides	Couepia_guianensis	Couma_guianensis	Couratari_multiflora	Cupania_scrobiculata	Dacryodes_cuspidata	Diospyros_carbonaria	Diploon_cuspidatum	Dipteryx_odorata	Drypetes_fanshawei	Drypetes_variabilis	Duguetia_surinamensis	Ecclinusa_lanceolata	Ecclinusa_ramiflora	Endlicheria_melinonii	Eperua_falcata	Eperua_grandiflora	Erisma_floribundum	Eschweilera_chartaceifolia	Eschweilera_coriacea	Eschweilera_decolorans	Eschweilera_grandiflora	Eschweilera_micrantha	Eschweilera_pedicellata	Eschweilera_sagotiana	Glycydendron_amazonicum	Goupia_glabra	Helicostylis_pedunculata	Hevea_guianensis	Hirtella_bicornis	Hirtella_glandulosa	Hirtella_suffulta	Inga_acrocephala	Inga_longipedunculata	Inga_pezizifera	Iryanthera_sagotiana	Jacaranda_copaia	Lacmellea_aculeata	Lacunaria_jenmanii	Laetia_procera	Lecythis_persistens	Lecythis_poiteaui	Lecythis_zabucajo	Licania_alba	Licania_canescens	Licania_heteromorpha	Licania_latistipula	Licania_majuscula	Licania_membranacea	Licania_micrantha	Licania_minutiflora	Licania_ovalifolia	Manilkara_bidentata	Manilkara_huberi	Melicoccus_pedicellaris	Micropholis_cayennensis	Micropholis_egensis	Micropholis_guyanensis	Micropholis_longipedicellata	Micropholis_melinoniana	Micropholis_obscura	Micropholis_porphyrocarpa	Micropholis_sanctae-rosae	Micropholis_venulosa	Minquartia_guianensis	Mouriri_crassifolia	Naucleopsis_guianensis	Ocotea_argyrophylla	Oxandra_asbeckii	Parinari_campestris	Parinari_montana	Pogonophora_schomburgkiana	Poraqueiba_guianensis	Pourouma_minor	Pourouma_villosa	Pouteria_ambelaniifolia	Pouteria_bangii	Pouteria_benai	Pouteria_bilocularis	Pouteria_cladantha	Pouteria_cuspidata	Pouteria_decorticans	Pouteria_eugeniifolia	Pouteria_filipes	Pouteria_fimbriata	Pouteria_flavilatex	Pouteria_guianensis	Pouteria_hispida	Pouteria_jariensis	Pouteria_laevigata	Pouteria_melanopoda	Pouteria_reticulata	Pouteria_retinervis	Pouteria_singularis	Pouteria_torta	Pradosia_cochlearia	Pradosia_ptychandra	Protium_apiculatum	Protium_cuneatum	Protium_decandrum	Protium_gallicum	Protium_guianense	Protium_morii	Protium_opacum	Protium_sagotianum	Protium_subserratum	Protium_tenuifolium	Protium_trifoliolatum	Pseudopiptadenia_psilostachya	Pseudoxandra_cuspidata	Qualea_rosea	Quararibea_duckei	Rhodostemonodaphne_grandis	Sacoglottis_guianensis	Schefflera_decaphylla	Sextonia_rubra	Simaba_polyphylla	Siparuna_pachyantha	Sloanea_brevipes	Sterculia_pruriens	Sterculia_speciosa	Symphonia_globulifera	Symplocos_martinicensis	Tachigali_bracteolata	Tachigali_paraensis	Talisia_simaboides	Tapirira_guianensis	Tetragastris_altissima	Tetragastris_panamensis	Theobroma_subincanum	Thyrsodium_guianense	Thyrsodium_puberulum	Trichilia_cipo	Trymatococcus_oligandrus	Unonopsis_rufescens	Virola_kwatae	Virola_michelii	Virola_multicostata	Vochysia_guianensis	Vouacapoua_americana	Xylopia_nitida
115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00679796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004383	0	0	0	0	0	0	0	0	0	0	0	0.00509504	0.00188197	0	0.00133177	0.00104832	0.00547263	326.762
235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0067141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00908256	0	0	0	0	0	0	0	0	0	0	0	0.00689144	0.00239926	0	0.00177968	0.00543568	0.0119803	603.009
355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00940347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00742598	0	0	0	0	0	0	0	0	0	0	0	0.0202571	0.00493029	0	0.00228341	0.00884023	0.0327242	847.066
475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00699179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016668	0	0	0	0	0	0	0	0	0	0	0	0.0472881	0.0163261	0	0.00194413	0.00621615	0.056148	1086.64
595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00444517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0310113	0	0	0	0	0	0	0	0	0	0	0	0.0621415	0.0249021	0	0.00200661	0.0016397	0.104175	1313.62
715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00476758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0334846	0	0	0	0	0	0	0	0	0	0	0	0.0778356	0.0349213	0	0.00224481	0.00163505	0.175115	1514.19
835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00451279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0335077	0	0	0	0	0	0	0	0	0	0	0	0.0963416	0.0490189	0	0.00237516	0.00145016	0.244154	1714.09
955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00584674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0531622	0	0	0	0	0	0	0	0	0	0	0	0.113584	0.0656948	0	0.00226934	0.00155381	0.284706	1853.18
1075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00378759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0553017	0	0	0	0	0	0	0	0	0	0	0	0.131571	0.0636503	0	0.00456508	0.00168543	0.191957	1957.7
1195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00455893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0525377	0	0	0	0	0	0	0	0	0	0	0	0.141471	0.0825218	0	0.00534195	0.00155341	0.208424	2028.82
