Iter	Sites_abc	CHM_mean	CHM_sd	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHMchange_mean	CHMchange_sd	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	
				0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69			0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	
115	62500	10.9018	1.27052	0.00024	0.000272	0.00048	0.00032	0.000352	0.001632	0.004368	0.011952	0.024416	0.067216	0.164144	0.412352	0.257216	0.05456	0.00048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-10.9018	1.27052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00048	0.05456	0.257216	0.412352	0.164144	0.067216	0.024416	0.011952	0.004368	0.001632	0.000352	0.00032	0.00048	0.000272	0.00024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
235	62500	15.4264	1.82841	0.000416	0.000384	0.000624	0.000512	0.000528	0.0008	0.0012	0.001632	0.002336	0.003472	0.007504	0.013904	0.025424	0.043584	0.0892	0.255552	0.31256	0.169472	0.062144	0.008752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.52464	1.85737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6e-05	0	0.000112	0.000192	0.000208	0.000336	0.000672	0.001872	0.004432	0.011088	0.026656	0.052656	0.105488	0.302528	0.312832	0.104192	0.040128	0.018528	0.005024	0.003344	0.002464	0.001888	0.001072	0.001088	0.000832	0.000464	0.000448	0.000496	0.000336	0.000272	0.000208	0.000128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
355	62500	18.5423	2.37607	0.00032	0.000304	0.00048	0.000656	0.00056	0.001312	0.001488	0.00216	0.002368	0.002112	0.002864	0.004064	0.004992	0.009616	0.015184	0.034064	0.046864	0.090528	0.16832	0.23704	0.227808	0.123888	0.022832	0.000176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.11586	2.21824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2e-05	0.000176	0.00016	0.00024	0.000272	0.000416	0.000512	0.000688	0.001248	0.001584	0.002688	0.005616	0.009216	0.017008	0.027584	0.039408	0.257552	0.405392	0.13024	0.0552	0.015728	0.005632	0.004352	0.003456	0.002736	0.001904	0.00144	0.00168	0.00144	0.001552	0.00152	0.001008	0.000816	0.0004	0.000432	0.000304	0.000208	0.000144	1.6e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
475	62500	20.8625	2.73654	0.000288	0.000256	0.00056	0.000592	0.00048	0.00096	0.001504	0.002224	0.002608	0.002848	0.002512	0.002272	0.003056	0.004112	0.004608	0.012	0.015344	0.023072	0.03568	0.060368	0.141264	0.231648	0.21368	0.152208	0.068256	0.017584	1.6e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.32016	2.45836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6e-05	6.4e-05	0.000128	0.000208	0.000288	0.000464	0.000592	0.000816	0.00088	0.001168	0.001376	0.001792	0.002768	0.004256	0.006864	0.011072	0.016544	0.022832	0.040272	0.297296	0.41432	0.122176	0.02152	0.005744	0.004272	0.003152	0.002624	0.002112	0.0016	0.001072	0.001648	0.001312	0.001344	0.001456	0.001024	0.001856	0.000848	0.000656	0.000496	0.000368	0.000208	0.00024	0.000176	8e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
595	62500	22.6847	3.19549	0.000352	0.00032	0.000752	0.0008	0.00104	0.001296	0.001616	0.002224	0.002816	0.003216	0.002336	0.003264	0.002432	0.003616	0.003648	0.004224	0.00672	0.009616	0.015904	0.024	0.045584	0.07544	0.13744	0.196096	0.192048	0.165536	0.084304	0.01336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.82227	2.82489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6e-05	6.4e-05	0.000176	0.000112	9.6e-05	0.0004	0.00048	0.00064	0.000656	0.001168	0.001136	0.001168	0.001312	0.00168	0.002352	0.002944	0.004656	0.006976	0.011248	0.015632	0.021888	0.164304	0.438016	0.249232	0.034528	0.005808	0.004464	0.003424	0.003184	0.002528	0.002112	0.001552	0.0012	0.001168	0.001216	0.001376	0.001968	0.001056	0.001424	0.001312	0.001392	0.000928	0.000816	0.000576	0.0008	0.0004	0.00032	6.4e-05	3.2e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
715	62500	24.0861	3.61819	0.000256	0.00032	0.000672	0.00064	0.001136	0.001456	0.001968	0.002208	0.002336	0.004416	0.003152	0.004128	0.003552	0.004128	0.00424	0.004832	0.003776	0.006112	0.008368	0.013664	0.023216	0.035248	0.05032	0.086864	0.147232	0.203392	0.198704	0.135056	0.044912	0.003696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.40133	3.13505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6e-05	1.6e-05	0.000112	0.000176	0.000144	0.000256	0.000256	0.000688	0.00064	0.000832	0.000944	0.000672	0.00112	0.001152	0.001216	0.0016	0.002096	0.002352	0.003792	0.005184	0.007984	0.013184	0.016032	0.076848	0.36272	0.40616	0.044448	0.006176	0.005456	0.005216	0.00408	0.003568	0.002096	0.001648	0.001712	0.001296	0.001328	0.001168	0.001552	0.001936	0.002464	0.001984	0.001408	0.001584	0.001136	0.000832	0.000688	0.00048	0.000736	0.000448	0.000288	8e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
835	62500	25.2945	3.63983	0.00032	0.000128	0.00048	0.000416	0.000576	0.000576	0.001104	0.001648	0.002384	0.002432	0.00336	0.003296	0.004832	0.004352	0.00432	0.005264	0.005824	0.004128	0.005296	0.008608	0.014768	0.02056	0.02992	0.040496	0.067104	0.12744	0.198784	0.22464	0.160032	0.053392	0.00352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.20846	2.93523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6e-05	6.4e-05	0.000128	0.000176	0.000336	0.000368	0.000416	0.00056	0.000768	0.000896	0.000992	0.00096	0.001104	0.001184	0.001376	0.001248	0.001776	0.00168	0.00296	0.004224	0.006576	0.008944	0.011888	0.030768	0.249152	0.5536	0.079792	0.004368	0.004	0.003648	0.003056	0.00224	0.002096	0.001872	0.001616	0.0012	0.000944	0.000608	0.001232	0.001296	0.001888	0.001376	0.00128	0.000992	0.001168	0.000864	0.000704	0.00032	0.00032	0.00032	0.000176	0.000176	0.000176	6.4e-05	4.8e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
955	62500	26.1147	3.89627	0.000672	0.00032	0.000688	0.000512	0.000672	0.00056	0.001632	0.001792	0.002576	0.002112	0.002704	0.00296	0.00352	0.004288	0.00424	0.005216	0.005904	0.006464	0.005616	0.005504	0.0104	0.016432	0.020656	0.025936	0.04	0.070368	0.123264	0.210176	0.23416	0.140144	0.050512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.820208	3.07697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6e-05	1.6e-05	3.2e-05	0	6.4e-05	9.6e-05	0.000144	0.000272	0.000304	0.000368	0.000304	0.000912	0.000624	0.00088	0.001008	0.001104	0.00104	0.001152	0.00144	0.001488	0.002288	0.003056	0.004256	0.005424	0.00912	0.015552	0.158976	0.568464	0.176528	0.005744	0.004688	0.004032	0.003808	0.003056	0.002592	0.001968	0.001536	0.001056	0.001008	0.00096	0.000864	0.000608	0.0012	0.001872	0.001552	0.000912	0.001232	0.001472	0.001184	0.00088	0.000752	0.000432	0.000256	0.000464	0.000496	0.000288	0.000144	1.6e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1075	62500	26.5919	4.13852	0.000608	0.000112	0.000304	0.000352	0.00064	0.00128	0.00176	0.002128	0.003136	0.002688	0.00432	0.003488	0.003456	0.004816	0.004528	0.006416	0.004528	0.004784	0.005488	0.00832	0.008784	0.012144	0.015056	0.023424	0.02848	0.044432	0.07744	0.152752	0.247424	0.21792	0.108576	0.000416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.477136	3.31247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4e-05	3.2e-05	3.2e-05	0.000224	9.6e-05	0.000272	0.000272	0.000272	0.00048	0.000512	0.000576	0.000528	0.000608	0.000832	0.000912	0.001328	0.001072	0.001216	0.001488	0.001936	0.002272	0.0028	0.004064	0.007568	0.011328	0.099216	0.473568	0.335552	0.005728	0.005136	0.005072	0.004016	0.003392	0.001632	0.001776	0.001792	0.001392	0.001424	0.000832	0.001312	0.0012	0.001056	0.001472	0.00176	0.00176	0.001984	0.001264	0.00144	0.00136	0.001408	0.000896	0.000576	0.0004	0.00016	9.6e-05	8e-05	0.000224	0.00024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
