Iter	Sites_abc	CHM_mean	CHM_sd	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHM_hist	CHMchange_mean	CHMchange_sd	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	CHMchange_hist	
				0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69			0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	
115	62500	10.2131	1.83741	0.00416	0.000752	0.00136	0.001456	0.002528	0.008816	0.024432	0.045456	0.060848	0.100272	0.18768	0.357312	0.174384	0.030384	0.00016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-10.2131	0.00450869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00048	0.05456	0.257216	0.412352	0.164144	0.067216	0.024416	0.011952	0.004368	0.001632	0.000352	0.00032	0.00048	0.000272	0.00024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
235	62500	14.4349	2.9208	0.005072	0.000752	0.00192	0.002512	0.003904	0.005504	0.008464	0.013328	0.016704	0.016912	0.022416	0.0276	0.039312	0.058848	0.104176	0.25552	0.247696	0.122432	0.042176	0.004752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.22179	0.00545141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6e-05	0	0.000112	0.000192	0.000208	0.000336	0.000672	0.001872	0.004432	0.011088	0.026656	0.052656	0.105488	0.302528	0.312832	0.104192	0.040128	0.018528	0.005024	0.003344	0.002464	0.001888	0.001072	0.001088	0.000832	0.000464	0.000448	0.000496	0.000336	0.000272	0.000208	0.000128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
355	62500	17.2862	3.86172	0.00496	0.000736	0.001808	0.003408	0.00424	0.009424	0.012848	0.012464	0.008208	0.00784	0.00928	0.010768	0.013568	0.017568	0.02752	0.04488	0.056912	0.101824	0.16944	0.206112	0.17552	0.086912	0.013616	0.000144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.8513	0.0059575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2e-05	0.000176	0.00016	0.00024	0.000272	0.000416	0.000512	0.000688	0.001248	0.001584	0.002688	0.005616	0.009216	0.017008	0.027584	0.039408	0.257552	0.405392	0.13024	0.0552	0.015728	0.005632	0.004352	0.003456	0.002736	0.001904	0.00144	0.00168	0.00144	0.001552	0.00152	0.001008	0.000816	0.0004	0.000432	0.000304	0.000208	0.000144	1.6e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
475	62500	19.4014	4.5771	0.005696	0.000528	0.001888	0.002688	0.00424	0.00896	0.014192	0.015472	0.009248	0.006704	0.005984	0.0056	0.007696	0.00816	0.012816	0.01896	0.0244	0.03216	0.045728	0.071616	0.143008	0.205648	0.172592	0.116208	0.048928	0.01088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.11517	0.00627167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6e-05	6.4e-05	0.000128	0.000208	0.000288	0.000464	0.000592	0.000816	0.00088	0.001168	0.001376	0.001792	0.002768	0.004256	0.006864	0.011072	0.016544	0.022832	0.040272	0.297296	0.41432	0.122176	0.02152	0.005744	0.004272	0.003152	0.002624	0.002112	0.0016	0.001072	0.001648	0.001312	0.001344	0.001456	0.001024	0.001856	0.000848	0.000656	0.000496	0.000368	0.000208	0.00024	0.000176	8e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
595	62500	21.0774	5.21167	0.006	0.000624	0.002544	0.002896	0.00504	0.00816	0.012992	0.016464	0.011168	0.00704	0.005712	0.00576	0.004928	0.006688	0.006864	0.008832	0.011648	0.017424	0.023488	0.033232	0.053488	0.08272	0.135312	0.173072	0.160464	0.132112	0.057952	0.007376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.67603	0.00672297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6e-05	6.4e-05	0.000176	0.000112	9.6e-05	0.0004	0.00048	0.00064	0.000656	0.001168	0.001136	0.001168	0.001312	0.00168	0.002352	0.002944	0.004656	0.006976	0.011248	0.015632	0.021888	0.164304	0.438016	0.249232	0.034528	0.005808	0.004464	0.003424	0.003184	0.002528	0.002112	0.001552	0.0012	0.001168	0.001216	0.001376	0.001968	0.001056	0.001424	0.001312	0.001392	0.000928	0.000816	0.000576	0.0008	0.0004	0.00032	6.4e-05	3.2e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
715	62500	22.3513	5.77941	0.006352	0.000624	0.00216	0.003152	0.004672	0.009056	0.013232	0.016176	0.011504	0.009184	0.00672	0.006496	0.00592	0.005328	0.00656	0.006976	0.007168	0.01048	0.014512	0.019792	0.031024	0.041984	0.055552	0.092128	0.13832	0.177088	0.164688	0.102144	0.029072	0.001936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.27387	0.00708243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6e-05	1.6e-05	0.000112	0.000176	0.000144	0.000256	0.000256	0.000688	0.00064	0.000832	0.000944	0.000672	0.00112	0.001152	0.001216	0.0016	0.002096	0.002352	0.003792	0.005184	0.007984	0.013184	0.016032	0.076848	0.36272	0.40616	0.044448	0.006176	0.005456	0.005216	0.00408	0.003568	0.002096	0.001648	0.001712	0.001296	0.001328	0.001168	0.001552	0.001936	0.002464	0.001984	0.001408	0.001584	0.001136	0.000832	0.000688	0.00048	0.000736	0.000448	0.000288	8e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
835	62500	23.4858	6.0072	0.00608	0.000464	0.001648	0.002304	0.003856	0.0076	0.012816	0.015632	0.011904	0.008368	0.006416	0.006224	0.006752	0.005584	0.006368	0.007424	0.007568	0.00624	0.009408	0.014016	0.021872	0.025984	0.035904	0.047328	0.0744	0.124464	0.177184	0.184448	0.122352	0.037952	0.00144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.13453	0.006853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6e-05	6.4e-05	0.000128	0.000176	0.000336	0.000368	0.000416	0.00056	0.000768	0.000896	0.000992	0.00096	0.001104	0.001184	0.001376	0.001248	0.001776	0.00168	0.00296	0.004224	0.006576	0.008944	0.011888	0.030768	0.249152	0.5536	0.079792	0.004368	0.004	0.003648	0.003056	0.00224	0.002096	0.001872	0.001616	0.0012	0.000944	0.000608	0.001232	0.001296	0.001888	0.001376	0.00128	0.000992	0.001168	0.000864	0.000704	0.00032	0.00032	0.00032	0.000176	0.000176	0.000176	6.4e-05	4.8e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
955	62500	24.2117	6.35108	0.006928	0.000656	0.002096	0.00256	0.003968	0.007248	0.013296	0.015296	0.012192	0.008	0.007056	0.005872	0.005632	0.005808	0.00608	0.00712	0.00728	0.007344	0.00744	0.010032	0.01464	0.022048	0.025504	0.03216	0.045936	0.076176	0.1244	0.19192	0.189712	0.104912	0.030688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.725936	0.00701651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6e-05	1.6e-05	3.2e-05	0	6.4e-05	9.6e-05	0.000144	0.000272	0.000304	0.000368	0.000304	0.000912	0.000624	0.00088	0.001008	0.001104	0.00104	0.001152	0.00144	0.001488	0.002288	0.003056	0.004256	0.005424	0.00912	0.015552	0.158976	0.568464	0.176528	0.005744	0.004688	0.004032	0.003808	0.003056	0.002592	0.001968	0.001536	0.001056	0.001008	0.00096	0.000864	0.000608	0.0012	0.001872	0.001552	0.000912	0.001232	0.001472	0.001184	0.00088	0.000752	0.000432	0.000256	0.000464	0.000496	0.000288	0.000144	1.6e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1075	62500	24.6842	6.57915	0.006016	0.000368	0.001504	0.002768	0.003696	0.007872	0.013328	0.016048	0.01192	0.009456	0.008688	0.007168	0.00616	0.006624	0.005952	0.00768	0.005904	0.006096	0.007728	0.010048	0.011888	0.016432	0.020496	0.02816	0.033312	0.048448	0.08408	0.152256	0.211552	0.170112	0.07808	0.00016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.472416	0.00728008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4e-05	3.2e-05	3.2e-05	0.000224	9.6e-05	0.000272	0.000272	0.000272	0.00048	0.000512	0.000576	0.000528	0.000608	0.000832	0.000912	0.001328	0.001072	0.001216	0.001488	0.001936	0.002272	0.0028	0.004064	0.007568	0.011328	0.099216	0.473568	0.335552	0.005728	0.005136	0.005072	0.004016	0.003392	0.001632	0.001776	0.001792	0.001392	0.001424	0.000832	0.001312	0.0012	0.001056	0.001472	0.00176	0.00176	0.001984	0.001264	0.00144	0.00136	0.001408	0.000896	0.000576	0.0004	0.00016	9.6e-05	8e-05	0.000224	0.00024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
