Iter	mean_ran	sd_ran	Height_output	Heightsd_output	CR_output	CRsd_output	CD_output	CDsd_output	P_output	Psd_output	N_output	Nsd_output	LMA_output	LMAsd_output	wsg_output	wsgsd_output	dmax_output	dmaxsd_output	Height_input	Heightsd_input	CR_input	CRsd_input	CD_input	CDsd_input	P_input	Psd_input	N_input	Nsd_input	LMA_input	LMAsd_input	wsg_input	wsgsd_input	dmax_input	dmaxsd_input
115	4936.37	nan	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	
235	5040.99	nan	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	
355	4951.94	nan	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	
475	4988.47	nan	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	
595	4897.8	nan	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	
715	4951.65	nan	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	
835	5063.81	nan	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	
955	4919.09	nan	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	
1075	4938.08	nan	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	
1195	5072.59	nan	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	
1315	5045.8	nan	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	
1435	5008.99	nan	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	
1555	4930.47	nan	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-inf	nan	0	0	
