iter	col	row	from_Data	sp_lab	site	CrownDisplacement	Pmass	Nmass	LMA	wsg	Rdark	Vcmax	Jmax	leaflifespan	lambda_young	lambda_mature	lambda_old	dbhmature	dbhmax	hmax	ah	Ct	LAImax	fraction_filled	mult_height	mult_CR	mult_CD	mult_P	mult_N	mult_LMA	mult_dbhmax	dev_wsg	age	dbh	sapwood_area	height	CD	CR	GPP	NPP	Rday	Rnight	Rstem	LAmax	LA	youngLA	matureLA	oldLA	LAI	litter	carbon_storage	carbon_biometry	multiplier_seed	hurt	NPPneg	dbh_previous	AGB	s_name
2400	3	0	0	164	3	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	12.048	1	0.249	0.1422	0.18119	0.36237	50.21	0.3031	32.025	4.3994	0.85	1	1	1	1	1	1	1	0	201	0.50886	0.044389	31.467	6.2934	5.498	14974	4610.3	1328.7	2876.2	1386.8	310.7	283.48	23.526	94.541	165.41	3.5435	2350.1	34905	572.23	1	0	0	0.5087	2437.7	Xylopia_nitida
2400	4	0	0	164	4	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	6.0742	1	0.49389	0.32793	0.18119	0.36237	50.21	0.3031	31.68	4.3994	0.85	1	1	1	1	1	1	1	0	57.083	0.07747	0.0011384	10.221	2.0442	1.6796	188.4	72.3	14.214	30.974	11.552	16.923	3.0532	0.50266	1.0177	1.5328	0.44492	50.224	0.075445	2.3717	1	0	0	0.077348	18.352	Xylopia_nitida
2400	14	0	0	164	14	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	8.7388	1	0.3433	0.20722	0.18119	0.36237	50.21	0.3031	31.776	4.3994	0.85	1	1	1	1	1	1	1	-0	32.75	0.083468	0.0016503	10.841	2.1683	1.7604	392.46	138.22	34.672	77.564	17.764	15.004	7.6458	0.87493	2.5486	4.2223	0.98841	87.421	0.075585	8.7857	1	0	0	0.08318	22.597	Xylopia_nitida
2400	19	0	0	164	19	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	9.3235	1	0.32177	0.19173	0.18119	0.36237	50.21	0.3031	31.96	4.3994	0.85	1	1	1	1	1	1	1	-0	201	0.50731	0.049879	31.431	6.2862	5.4874	19945	7329.3	1529.3	3230.6	1556.6	327.45	318.39	34.141	106.22	178.03	3.9799	3410.1	2647.6	1078.8	1	0	0	0.50705	2420.1	Xylopia_nitida
2400	20	0	0	164	20	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	12.567	1	0.23871	0.13553	0.18119	0.36237	50.21	0.3031	31.697	4.3994	0.85	1	1	1	1	1	1	1	0	7.4167	0.014601	0.00015081	2.3075	0.46151	0.58695	17.714	5.2225	2.0608	4.4289	0.34551	1.1556	0.43657	0.034738	0.14552	0.25631	0.43657	3.471	0.076172	0.24765	1	0	0	0.014288	0.14718	Xylopia_nitida
2400	25	0	0	164	25	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	8.3183	1	0.36065	0.22	0.18119	0.36237	50.21	0.3031	31.919	4.3994	0.85	1	1	1	1	1	1	1	-0	17.417	0.024793	0.00031091	3.7965	0.75931	0.81936	28.863	11.925	2.1779	4.5344	1.1719	2.4907	0.44621	0.053603	0.14976	0.24284	0.40231	5.3303	8.375e-07	1.871	1	0	0	0.024498	0.6982	Xylopia_nitida
2400	26	0	0	164	26	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	6.6846	1	0.4488	0.28932	0.18119	0.36237	50.21	0.3031	31.979	4.3994	0.85	1	1	1	1	1	1	1	-0	67.083	0.18291	0.0079211	18.897	3.7793	2.8857	2894.1	1210.4	200.8	427.28	148.61	71.524	42.119	6.3009	14.04	21.778	1.9005	629.57	0.072684	147.52	1	0	0	0.18214	189.14	Xylopia_nitida
2400	27	0	0	164	27	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	5.6944	1	0.52683	0.35762	0.18119	0.36237	50.21	0.3031	31.422	4.3994	0.85	1	1	1	1	1	1	1	0	29.417	0.063253	0.00091503	8.669	1.7338	1.4782	197.04	92.201	11.726	23.948	7.8758	18.353	2.3607	0.41456	0.78688	1.1592	0.40254	41.422	2.9778e-06	14.149	1	0	0	0.062899	10.377	Xylopia_nitida
2400	28	0	0	164	28	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	6.5081	1	0.46096	0.29951	0.18119	0.36237	50.21	0.3031	31.79	4.3994	0.85	1	1	1	1	1	1	1	-0	14	0.021009	0.00025147	3.2547	0.65093	0.73818	29.596	12.639	2.2332	4.6473	0.81261	2.2556	0.4581	0.070389	0.1527	0.23501	0.4581	7.0331	0.076174	1.2826	1	0	0	0.020668	0.42979	Xylopia_nitida
2400	29	0	0	164	29	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	9.8334	1	0.30508	0.18	0.18119	0.36237	50.21	0.3031	31.389	4.3994	0.85	1	1	1	1	1	1	1	-0	8.25	0.046709	0.0015694	6.7043	1.3409	1.2211	225.7	44.316	30.336	67.475	10.447	5.7226	6.7184	0.22353	2.1499	4.345	1.8233	78.985	12.81	8.9989	1	0	0	0.046602	4.3761	Xylopia_nitida
2400	30	0	0	164	30	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	7.1544	1	0.41932	0.26528	0.18119	0.36237	50.21	0.3031	31.34	4.3994	0.85	1	1	1	1	1	1	1	0	7.3333	0.052489	0.001539	7.4116	1.4823	1.3143	450.3	198.58	31.996	67.76	11.325	12.831	6.679	0.93343	2.2268	3.5189	1.5088	93.267	0.076032	28.103	1	0	0	0.05133	6.1093	Xylopia_nitida
2400	31	0	0	164	31	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	5.5111	1	0.54436	0.37396	0.18119	0.36237	50.21	0.3031	31.624	4.3994	0.85	1	1	1	1	1	1	1	0	14.917	0.02705	0.00034636	4.1138	0.82276	0.86559	59.69	26.918	4.1542	8.5882	1.4147	3.4451	0.84657	0.15361	0.28219	0.41077	0.62532	15.349	6.9792e-08	2.544	1	0	0	0.026679	0.90055	Xylopia_nitida
2400	34	0	0	164	34	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	8.0472	1	0.3728	0.22911	0.18119	0.36237	50.21	0.3031	31.873	4.3994	0.85	1	1	1	1	1	1	1	0	37.417	0.15947	0.013883	17.309	3.4619	2.6468	5058.7	2149.9	353.63	732.76	238.58	74.801	71.924	8.9559	24.384	38.584	3.9937	879.88	0.072729	375.84	1	0	0	0.15751	131.69	Xylopia_nitida
2400	35	0	0	164	35	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	5.8732	1	0.5108	0.343	0.18119	0.36237	50.21	0.3031	31.768	4.3994	0.85	1	1	1	1	1	1	1	-0	14.667	0.052741	0.00074991	7.4418	1.4884	1.3183	189.84	83.159	13.325	28.496	5.5409	11.395	2.8089	0.47826	0.93631	1.3944	0.62988	47.787	0.075973	7.5548	1	0	0	0.052385	6.1931	Xylopia_nitida
2400	37	0	0	163	37	0	0.0016023	0.025966	70.247	0.68948	1.036	47.545	76.876	5.1647	1	0.58087	0.40931	0.33737	0.67473	51.37	0.2827	39.63	4.4971	0.85	1	1	1	1	1	1	1	0	15.167	0.041422	0.00057212	6.565	1.313	1.1322	162.15	63.287	14.164	29.935	3.7292	6.3612	3.1038	0.60097	1.0346	1.4682	1.0254	42.216	4.4487e-06	2.9263	1	0	0	0.041156	4.3415	Vouacapoua_americana
2400	42	0	0	164	42	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	5.6493	1	0.53104	0.3615	0.18119	0.36237	50.21	0.3031	32.121	4.3994	0.85	1	1	1	1	1	1	1	0	11.75	0.026697	0.00034081	4.0644	0.81289	0.85845	39.201	17.814	2.5667	5.226	1.3753	3.9368	0.51515	0.091188	0.17172	0.25225	0.3917	9.1113	0.07616	2.31	1	0	0	0.026349	0.86666	Xylopia_nitida
2400	43	0	0	164	43	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	8.7574	1	0.34257	0.20669	0.18119	0.36237	50.21	0.3031	32.034	4.3994	0.85	1	1	1	1	1	1	1	0	12	0.037657	0.00062526	5.5487	1.1097	1.0662	132.59	48.557	12.168	26.533	3.4446	4.9363	2.6154	0.29866	0.87181	1.445	1.0172	29.841	0.076136	3.107	1	0	0	0.037233	2.354	Xylopia_nitida
2400	46	0	0	164	46	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	7.1109	1	0.42189	0.26734	0.18119	0.36237	50.21	0.3031	31.703	4.3994	0.85	1	1	1	1	1	1	1	-0	12	0.050262	0.00071098	7.1419	1.4284	1.2789	127.79	38.52	13.718	29.749	5.0414	8.0905	2.9341	0.32361	0.9758	1.6347	0.70904	43.88	1.1632e-06	9.3056e-08	1	0	0	0.050215	5.3979	Xylopia_nitida
2400	47	0	0	164	47	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	7.0516	1	0.42544	0.27019	0.18119	0.36237	50.21	0.3031	31.776	4.3994	0.85	1	1	1	1	1	1	1	0	12	0.064336	0.0019853	8.7914	1.7583	1.4941	766.89	372.32	45.233	94.107	17.329	20.971	9.1577	1.3232	3.211	4.6234	1.5263	122.98	0.075969	76.876	1	0	0	0.062836	10.887	Xylopia_nitida
2400	52	0	0	164	52	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	7.8638	1	0.38149	0.23571	0.18119	0.36237	50.21	0.3031	32.041	4.3994	0.85	1	1	1	1	1	1	1	-0	12	0.03771	0.00054456	5.5556	1.1111	1.0671	142.24	60.872	10.743	23.108	3.0038	6.0906	2.2778	0.28966	0.75928	1.2289	0.88374	28.942	0.076111	8.1598	1	0	0	0.037066	2.3636	Xylopia_nitida
2400	60	0	0	164	60	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	6.4325	1	0.46638	0.30411	0.18119	0.36237	50.21	0.3031	31.671	4.3994	0.85	1	1	1	1	1	1	1	0	12.083	0.056677	0.00094966	7.9098	1.582	1.3794	195.84	64.193	19.723	42.241	7.4579	12.754	4.1633	0.57894	1.3885	2.1959	0.83639	66.915	1.8611e-06	1.1167e-06	1	0	0	0.056498	7.6017	Xylopia_nitida
2400	65	0	0	164	65	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	10.052	1	0.29844	0.17539	0.18119	0.36237	50.21	0.3031	32.01	4.3994	0.85	1	1	1	1	1	1	1	-0	87.584	0.33374	0.028404	26.313	5.2626	4.215	10575	3949.9	815.24	1731.2	742.05	173.69	169.79	16.928	57.74	95.125	3.627	1661.5	4868.6	662.75	1	0	0	0.33251	876.84	Xylopia_nitida
2400	66	0	0	164	66	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	7.6935	1	0.38994	0.24219	0.18119	0.36237	50.21	0.3031	31.546	4.3994	0.85	1	1	1	1	1	1	1	0	40.5	0.085885	0.0012705	11.086	2.2172	1.7923	209.98	64.543	19.997	44.533	13.985	14.311	4.39	0.52243	1.4631	2.4044	0.5425	58.27	2.3729e-06	0	1	0	0	0.085821	24.465	Xylopia_nitida
2400	78	0	0	164	78	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	8.4534	1	0.35489	0.21572	0.18119	0.36237	50.21	0.3031	32.026	4.3994	0.85	1	1	1	1	1	1	1	-0	1.4167	0.010579	8.7895e-05	1.6933	0.33867	0.47912	35.809	16.636	2.5652	5.3164	0.14777	2.5056	0.51438	0.06315	0.18436	0.26687	0.51438	5.6567	0.076181	3.5772	1	0	0	0.0073058	0.056696	Xylopia_nitida
2400	79	0	0	164	79	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	9.6212	1	0.31181	0.1847	0.18119	0.36237	50.21	0.3031	31.991	4.3994	0.85	1	1	1	1	1	1	1	0	17.833	0.059395	0.0018724	8.2269	1.6454	1.4207	667.82	303.95	45.257	95.184	15.294	17.225	9.1615	1.0803	3.3488	4.7324	1.7153	85.673	18.632	62.745	1	0	0	0.05798	8.6829	Xylopia_nitida
2400	80	0	0	164	80	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	11.457	1	0.26185	0.15065	0.18119	0.36237	50.21	0.3031	31.974	4.3994	0.85	1	1	1	1	1	1	1	-0	20.583	0.10748	0.0090488	13.143	2.6287	2.0643	2678.6	1037.5	216.84	462.71	118.08	45.003	45.003	3.7414	15.812	25.45	3.952	380.22	996.83	208.25	1	0	0	0.10558	45.422	Xylopia_nitida
2400	82	0	0	164	82	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	11.132	1	0.2695	0.15573	0.18119	0.36237	50.21	0.3031	31.728	4.3994	0.85	1	1	1	1	1	1	1	0	31.417	0.12573	0.008437	14.721	2.9442	2.2787	2586.9	997.96	206.46	444.36	123.32	46.635	43.256	3.9713	15.147	24.137	3.2491	372.81	0.00015261	187.23	1	0	0	0.12435	69.622	Xylopia_nitida
2400	83	0	0	164	83	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	7.4629	1	0.40199	0.25155	0.18119	0.36237	50.21	0.3031	31.67	4.3994	0.85	1	1	1	1	1	1	1	0	29.917	0.11362	0.0039322	13.69	2.738	2.1379	985.28	336.79	88.168	194.49	53.448	32.878	19.171	2.5485	6.3909	10.232	1.5976	257.2	0	1.005e-05	1	0	0	0.11333	52.878	Xylopia_nitida
2400	85	0	0	164	85	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	6.2969	1	0.47642	0.3127	0.18119	0.36237	50.21	0.3031	31.933	4.3994	0.85	1	1	1	1	1	1	1	-0	2.0833	0.013248	0.00013785	2.1027	0.42055	0.55209	44.593	20.817	3.1338	6.4814	0.2878	2.5556	0.6389	0.10146	0.21297	0.32447	0.6389	10.138	0.076175	2.8015	1	0	0	0.011449	0.11042	Xylopia_nitida
2400	86	0	0	164	86	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	6.6372	1	0.452	0.29199	0.18119	0.36237	50.21	0.3031	31.632	4.3994	0.85	1	1	1	1	1	1	1	0	4.0833	0.031094	0.00075935	4.6716	0.93433	0.945	320.53	166.53	17.132	34.429	3.5221	7.2435	3.3266	0.56245	1.1984	1.5658	1.8425	44.342	0.076146	33.649	1	0	0	0.028624	1.3513	Xylopia_nitida
2400	87	0	0	164	87	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	5.3995	1	0.5556	0.38466	0.18119	0.36237	50.21	0.3031	31.802	4.3994	0.85	1	1	1	1	1	1	1	-0	8.0833	0.023869	0.0002964	3.6654	0.73308	0.79999	37.503	17.352	2.4378	4.9597	1.0787	3.0624	0.4889	0.090545	0.16297	0.23539	0.48378	9.0471	0.076166	2.9935	1	0	0	0.023394	0.62479	Xylopia_nitida
2400	88	0	0	164	88	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	6.8206	1	0.43984	0.28192	0.18119	0.36237	50.21	0.3031	31.816	4.3994	0.85	1	1	1	1	1	1	1	-0	29.917	0.092214	0.0021463	11.712	2.3425	1.8744	679.21	290.21	48.886	102.57	24.959	24.794	10.102	1.4801	3.3789	5.2429	1.1177	147.54	0.075682	35.873	1	0	0	0.091521	29.797	Xylopia_nitida
2400	89	0	0	164	89	0	0.00097	0.023215	99.918	0.53521	1.0897	49.406	78.331	8.319	1	0.36062	0.21997	0.18119	0.36237	50.21	0.3031	32.113	4.3994	0.85	1	1	1	1	1	1	1	-0	20	0.036643	0.00049705	5.4154	1.0831	1.048	72.347	26.51	6.493	13.818	2.6725	4.4677	1.3621	0.16373	0.45403	0.74432	0.55585	16.36	3.9781e-06	1.8317	1	0	0	0.036392	2.1755	Xylopia_nitida
