iter	sum1	sum10	sum30	ba	ba10	agb	gpp	npp	rday	rnight	rstem	litterfall
0	1.27795e+06	0	0	1.06451	0	758.547	1.06466	0.584162	0.0514532	0.101729	0.000150569	0.158923
1	1.27849e+06	0	0	1.30197	0	1022.1	1.07162	0.581206	0.0529887	0.106029	0.00189571	0.160071
2	1.27909e+06	0	0	1.53305	0	1301.43	1.14741	0.624887	0.056276	0.111023	0.00250176	0.162837
3	1.27975e+06	0	0	1.75985	0	1595.87	1.22296	0.665131	0.0606577	0.117866	0.00332059	0.167055
4	1.28043e+06	0	0	1.97617	0	1894.19	1.26859	0.683024	0.0636623	0.127526	0.00404391	0.172601
5	1.28105e+06	0	0	2.19712	0	2215.6	1.3568	0.737869	0.066352	0.13065	0.00479862	0.179147
6	1.28196e+06	0	0	2.42716	0	2566.82	1.47635	0.805482	0.071895	0.139491	0.00573112	0.186643
7	1.28287e+06	0	0	2.67612	0	2965.31	1.66314	0.911275	0.0830053	0.151039	0.00682557	0.195338
8	1.28381e+06	0	0	2.94069	0	3408.05	1.85232	1.01086	0.0944007	0.169359	0.00839532	0.205994
9	1.28442e+06	0	0	3.20623	0	3872.62	1.98351	1.06751	0.105575	0.190037	0.0100557	0.218981
10	1.28531e+06	0	0	3.46218	0	4338.02	2.02298	1.0767	0.110155	0.202173	0.0108834	0.234201
11	1.2863e+06	0	0	3.67773	0	4743.24	1.84764	0.953345	0.10339	0.209176	0.0112478	0.250498
12	1.302e+06	0	0	3.90755	0	5171.82	1.91354	0.993968	0.10522	0.21211	0.0117319	0.267486
13	1.30256e+06	0	0	4.11571	0	5582.86	1.90286	0.976572	0.107145	0.21866	0.0127043	0.28011
14	1.30322e+06	0	0	4.33524	0	6026.86	2.01806	1.04698	0.111224	0.22368	0.0133451	0.290521
15	1.30357e+06	0	0	4.56141	0	6496.93	2.12941	1.10887	0.117078	0.231569	0.0149008	0.299371
16	1.30421e+06	0	0	4.78294	0	6968.13	2.16365	1.11463	0.120252	0.244809	0.0158301	0.307921
17	1.30467e+06	0	0	5.01587	0	7475.67	2.28893	1.19812	0.122773	0.245279	0.0168433	0.31655
18	1.30541e+06	0	0	5.26271	0	8026.18	2.45968	1.29611	0.130547	0.256534	0.0183167	0.325763
19	1.30628e+06	0	0	5.53365	0	8645.58	2.74281	1.45731	0.148131	0.272404	0.0201027	0.336348
20	1.30718e+06	0	0	5.82819	0	9335.37	3.03961	1.61476	0.165664	0.299868	0.0230134	0.349687
21	1.30794e+06	0	0	6.134	0	10069.5	3.25811	1.71375	0.182642	0.331376	0.0259224	0.366836
22	1.30852e+06	0	0	6.43017	0	10797.8	3.28846	1.71037	0.188202	0.348567	0.0266579	0.387583
23	1.30899e+06	0	0	6.67317	0	11409	2.92031	1.45811	0.174504	0.35742	0.026488	0.410129
24	1.30969e+06	0	0	6.90938	0	12015.5	2.93832	1.47113	0.174516	0.356579	0.0267479	0.430494
25	1.31011e+06	0	0	7.12213	0	12574.3	2.81821	1.37737	0.175508	0.363576	0.0280332	0.446397
26	1.31071e+06	0	0	7.337	0	13149	2.90249	1.42933	0.179201	0.365984	0.0285668	0.457892
27	1.3115e+06	0	0	7.55281	0	13735.2	2.96243	1.4556	0.185226	0.372493	0.0310032	0.466296
28	1.31191e+06	0	0	7.75317	0	14293.5	2.9185	1.40883	0.186212	0.385823	0.0320386	0.472952
29	1.31317e+06	0	0	7.96083	0	14883.3	3.02537	1.49149	0.185676	0.377848	0.0332114	0.478543
30	1.31466e+06	0	0	8.17896	0	15515.5	3.18978	1.58796	0.192994	0.386439	0.0352296	0.483934
31	1.31677e+06	0	0	8.42017	0	16222.2	3.47266	1.7465	0.214003	0.401205	0.0377234	0.49024
32	1.31792e+06	0	0	8.66829	0	16976.3	3.73045	1.87334	0.232953	0.430376	0.0419652	0.498827
33	1.32141e+06	0	0	8.90726	0	17726	3.82362	1.88726	0.248848	0.461395	0.0457726	0.510475
34	1.326e+06	0	0	9.12063	0	18422.5	3.70818	1.80158	0.247846	0.468845	0.0454945	0.524349
35	1.33121e+06	0	0	9.29493	0	18992	3.19687	1.4799	0.222243	0.464029	0.043775	0.537918
36	1.33382e+06	0	0	9.46151	0	19553.5	3.1899	1.4972	0.215817	0.448305	0.0431475	0.547741
37	1.33666e+06	0	0	9.5969	0	20048.3	3.03881	1.39658	0.212368	0.446213	0.0441301	0.55218
38	1.34082e+06	0	0	9.71403	0	20524.7	3.12386	1.46108	0.21268	0.439828	0.0439779	0.551972
39	1.34581e+06	0	0	9.79484	0	20954.4	3.19006	1.49922	0.216624	0.440399	0.0465779	0.548956
40	1.35256e+06	0	0	9.81567	0	21273.7	3.12619	1.44562	0.214942	0.449917	0.0469101	0.544974
41	1.36565e+06	0	0	9.81901	0	21582.8	3.23414	1.5371	0.212029	0.435817	0.0474443	0.541521
42	1.38117e+06	0	0	9.85081	0	21956.5	3.3805	1.62527	0.218064	0.441303	0.0491657	0.539053
43	1.39403e+06	0	0	9.94598	0	22483.6	3.65618	1.77954	0.239612	0.453956	0.0515969	0.53912
44	1.40214e+06	0	0	10.0744	0	23103.3	3.90683	1.9011	0.258252	0.481951	0.0563667	0.542184
45	1.40967e+06	0	0	10.2256	0	23771.3	3.98495	1.90555	0.273197	0.511266	0.0605733	0.548891
46	1.41619e+06	0	0	10.3607	0	24391.5	3.83981	1.80624	0.269529	0.51446	0.059431	0.558159
47	1.42459e+06	0	0	10.45	0	24854.2	3.27999	1.46005	0.239683	0.505088	0.0564987	0.567551
48	1.4326e+06	0	0	10.5294	0	25296	3.26863	1.48318	0.231173	0.484526	0.0551189	0.573844
49	1.44184e+06	0	0	10.5962	0	25690	3.10526	1.37675	0.226812	0.48096	0.0560001	0.575978
50	1.44995e+06	0	0	10.6525	0	26081.1	3.19897	1.44931	0.226992	0.473779	0.0555334	0.574696
51	1.45995e+06	0	0	10.6965	0	26463.3	3.26124	1.48447	0.231127	0.474413	0.0586474	0.571676
52	1.47346e+06	0	0	10.7007	0	26754.7	3.18015	1.41986	0.229002	0.484119	0.0589716	0.568081
53	1.48822e+06	0	0	10.7039	0	27063.5	3.284	1.51174	0.225411	0.467985	0.059585	0.564574
54	1.50489e+06	0	0	10.717	0	27410.8	3.43385	1.60323	0.231345	0.472512	0.0615762	0.561846
55	1.52248e+06	0	0	10.7509	0	27832.8	3.71664	1.76345	0.253246	0.483515	0.0641719	0.560287
56	1.53816e+06	0	0	10.8211	0	28367.2	3.96566	1.88486	0.271543	0.510116	0.0695885	0.561378
57	1.55254e+06	0	0	10.921	0	28966.9	4.03007	1.88255	0.285411	0.537099	0.074197	0.565438
58	1.56498e+06	0	0	11.0112	0	29524.3	3.86149	1.77326	0.279741	0.536573	0.0722803	0.571616
59	1.57934e+06	0	0	11.0585	0	29909.5	3.27659	1.417	0.247257	0.523506	0.0682504	0.577686
60	1.59507e+06	0	0	11.114	0	30301.7	3.26137	1.44187	0.237663	0.500335	0.0663036	0.581494
61	1.60925e+06	0	0	11.1546	0	30652.2	3.09138	1.33163	0.232946	0.496198	0.0670786	0.582157
62	1.62329e+06	0	0	11.1977	0	31013	3.17792	1.40154	0.232647	0.487814	0.0663355	0.579993
63	1.63757e+06	0	0	11.2294	0	31362.1	3.23595	1.43335	0.236777	0.488397	0.0698196	0.576288
64	1.65286e+06	0	0	11.2349	0	31636.6	3.14981	1.36549	0.234365	0.498047	0.0699898	0.572195
65	1.66844e+06	0	0	11.2427	0	31937.2	3.25491	1.46073	0.230185	0.480334	0.0705427	0.568336
66	1.68634e+06	0	0	11.2535	0	32264.8	3.40489	1.55295	0.235866	0.484214	0.0726879	0.564956
67	1.70184e+06	0	0	11.3037	0	32717.4	3.68214	1.70932	0.257887	0.494934	0.0756271	0.563245
68	1.71749e+06	0	0	11.3916	0	33291.3	3.92565	1.82801	0.275619	0.520295	0.0818227	0.563868
